업체명,업체코드,상권
아서원1920 전주본점,1647184627,전북대
아서원1920 전주한옥마을꽃심호텔점,2099020069,전북대
파쿠야 전주점,1340584191,전북대
계도리,1163302976,전북대
대설 본점,1598840565,전북대
서울깍두기 전북대점,2088731895,전북대
"평화와평화, 구내매점",2064186940,전북대
만배식탁 전북대점,1379201438,전북대
오일내 전북대점,1742540837,전북대
고기듬뿍 국물두루치기 본점,1219346271,전북대
우노스,1530011364,전북대
코지버거,1496549723,전북대
이너프샐러드 전북대 본점,1534410624,전북대
효자동 스테이크펍,1036508971,전북대
카페타이니하우스,1003090099,전북대
만만 전북대점,2065226658,전북대
통집,17474756,전북대
금암소바,17122958,전북대
에그하우스,2049748405,전북대
멘야케이 금암본점,375214427,전북대
The담다,1729691935,전북대
치히로 전북대점,1446516924,전북대
메르밀진미집 금암동직영점,34825919,전북대
계근상 전북대점,2012739239,전북대
투썸플레이스 전주전북대점,32708547,전북대
한국관 본점,11728244,전북대
도야짬뽕 전북대점,1195097272,전북대
순정닭발 전북대점,95978698,전북대
뉴뉴키친,1687072934,전북대
태평집,13163796,전북대
가마,34006669,한옥마을
양반가,11782597,한옥마을
정희 전주한옥마을점,2052033549,한옥마을
메르밀진미집 본점,19545775,한옥마을
포스트빈,1152003157,한옥마을
카페1938,1317484628,한옥마을
카페이르리,1111317495,한옥마을
PNB 풍년제과 본점,16784383,한옥마을
원스타임오프 전주한옥마을점,1142633504,한옥마을
풍년제과 본점,33277058,한옥마을
전주는전주 전주한옥마을 본점,1694616852,한옥마을
베테랑 칼국수,1246677842,한옥마을
구프오프 전주본점,1848527934,한옥마을
이탈리돈,1857315164,한옥마을
자매갈비전골,16792504,한옥마을
제일제과,1595618342,한옥마을
전주왱이콩나물국밥전문점,33342797,한옥마을
메가MGC커피 전주한옥마을경기전점,1457865014,한옥마을
한울밥상,36668406,한옥마을
한국집,16795216,한옥마을
45년전통비빔밥 종로회관,11540579,한옥마을
길거리야 한옥마을점,1705369488,한옥마을
진할머니갈비국밥,1196809444,한옥마을
교동석쇠불고기,1547379426,한옥마을
전주한옥마을전망대카페,1988260686,한옥마을
은우정육식당,1978054842,신시가지
사계 전주본점,1674437430,신시가지
홀로설 전북도청 본점,1179533799,신시가지
석암생소금구이 전주신시가지점,2035360458,신시가지
올리빈,2050064407,신시가지
호르몬치치 전주신시가지점,2040733389,신시가지
달빛에구운고등어 전북도청점,1658039837,신시가지
다산돼지와낙지 본점,35262409,신시가지
시오베이커리,2092423541,신시가지
진담동&소바 전주효자동신시가지본점,1767903379,신시가지
몽유도 신시가지점,1954251906,신시가지
오티씨커피,1027304409,신시가지
후후소금빵,2077158695,신시가지
양누리 신시가지점,1119515452,신시가지
다 레오,1651846978,신시가지
EIGHT FLOOR,1582706255,신시가지
메종드쁘띠푸르 전주점,1881842274,신시가지
성산제줏간 전주신시가지,2046308559,신시가지
가츠연,1517836857,신시가지
프랭크커핀바&베이커리 효자점,1681529226,신시가지
나나방콕 전주신시가지점,2000922127,신시가지
멘야케이 전주신시가지점,1444733898,신시가지
솔가숯불갈비 신시가지점,1308357339,신시가지
일층집 본점,1497463405,신시가지
크럼,34016552,신시가지
돈카츠흑심 효자점,1559037357,신시가지
스시이안앤 도청신시가지점,2097209094,신시가지
이너프샐러드 도청 직영점,1439019759,신시가지
효자동아귀찜본점,1531723988,신시가지
카츠모리조,1106670769,객사
생활맥주 전주객리단길점,1034080506,객사
르프랭크,2045705129,객사
치히로,1710381899,객사
누보닭갈비,1465327582,객사
파도산장,2064592564,객사
디저트39 전주 객사점,1496680906,객사
플랫메이트,2014405010,객사
오두막창 전주객사점,2096717957,객사
세모 객리단길점,2089920251,객사
다가생구이 본점,1053590271,객사
중앙동고깃집,1146796327,객사
옐로우팜 전주객사점,2066468826,객사
포담 전주시청점,1270117665,객사
평화와평화,1952498498,객사
헤이스트릿,1990743046,객사
야화 혼술바 전주웨리단길점,2068753793,객사
몽유도 전주본점,1479244783,객사
깁미타코 전주점,1228549320,객사
도파멘,1253081680,객사
서양주택,452736623,객사
비의소리처럼,1893325633,객사
지복점,1816492689,객사
무국 무국적식당,1998373722,객사
