업체명,업체코드,업체카테고리,주소,전화번호,별점,업체사진,편의성정보,주차여부,영업시간
아서원1920 전주본점,1647184627,중식당,전북 전주시 덕진구 송천중앙로 225 파인트리몰 3층,0507-1360-1789,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250702_224%2F1751420679650vqGD6_PNG%2F%25BE%25C6%25BC%25AD%25BF%25F8_%25BA%25ED%25B7%25E7%25B8%25AE%25BA%25BB2025.png,콜키지 가능유료_무선 인터넷_남/녀 화장실 구분_포장_예약_단체 이용 가능_대기공간_유아의자_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능_장애인 주차구역,가능,"월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 20:20) | 토: 11:00 - 21:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 20:20) | 일: 11:00 - 21:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 20:20)"
아서원1920 전주한옥마을꽃심호텔점,2099020069,중식당,전북 전주시 완산구 팔달로 171 1층,0507-1443-1790,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250704_237%2F1751596452416oropY_PNG%2F%25BE%25C6%25BC%25AD%25BF%25F8_%25BA%25ED%25B7%25E7%25B8%25AE%25BA%25BB2025.png,콜키지 가능유료_단체 이용 가능_예약_무선 인터넷_유아의자_포장_남/녀 화장실 구분_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능_장애인 주차구역,가능,"월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:20, 20:20) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:20, 20:20) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:20, 20:20) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:20, 20:20) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:20, 20:20) | 토: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 14:20, 20:20) | 일: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 14:20, 20:20)"
파쿠야 전주점,1340584191,이자카야,전북 전주시 덕진구 기린대로 456 1층 파쿠야,0507-1449-3739,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240307_6%2F1709808836290GwAk9_JPEG%2FIMG_3920.jpeg,콜키지 가능유료_단체 이용 가능_예약_남/녀 화장실 구분_무선 인터넷_\반려동물 동반_포장,가능,월: 17:30 - 다음 날 04:00 | 화: 17:30 - 다음 날 04:00 | 수: 17:30 - 다음 날 04:00 | 목: 17:30 - 다음 날 04:00 | 금: 17:30 - 다음 날 04:00 | 토: 17:30 - 다음 날 04:00 | 일: 17:30 - 다음 날 04:00
계도리,1163302976,한식,전북 전주시 덕진구 명륜2길 15 16 1층 계도리,0507-1326-3742,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251102_101%2F17620755959204x66w_JPEG%2FIMG_8350.jpeg,포장_무선 인터넷_단체 이용 가능_예약_대기공간_남/녀 화장실 구분_유아의자,불가,"월: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30) | 화: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30) | 수: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30) | 목: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30) | 금: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30) | 토: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30) | 일: 11:00 - 22:00 (브레이크타임: 15:00 - 17:00, 라스트오더: 14:30, 21:30)"
대설 본점,1598840565,"카페,디저트",전북 전주시 덕진구 명륜4길 18 2층,0507-1467-1534,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251119_142%2F1763547265913HTJqh_PNG%2FKakaoTalk_20231209_155549039.png,로스터리_테이크아웃 할인_배달_포장_예약_단체 이용 가능_남/녀 화장실 구분,불가,월: 12:00 - 다음 날 00:40 (라스트오더: 00:20) | 화: 12:00 - 다음 날 00:40 (라스트오더: 00:20) | 수: 12:00 - 다음 날 00:40 (라스트오더: 00:20) | 목: 12:00 - 다음 날 00:40 (라스트오더: 00:20) | 금: 12:00 - 다음 날 00:40 (라스트오더: 00:20) | 토: 12:00 - 다음 날 00:40 (라스트오더: 00:20) | 일: 15:00 - 다음 날 00:40 (라스트오더: 00:20)
서울깍두기 전북대점,2088731895,"곰탕,설렁탕",전북 전주시 덕진구 명륜4길 25 1층,0507-1487-2160,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250605_72%2F1749103560168I6oTU_PNG%2F%25C1%25A6%25B8%25F1%25C0%25BB-%25C0%25D4%25B7%25C2%25C7%25D8%25C1%25D6%25BC%25BC%25BF%25E4_-001_%252834%2529.png,단체 이용 가능_포장_배달_예약_무선 인터넷_남/녀 화장실 구분_유아의자,가능,월: 00:00 - 24:00 | 화: 00:00 - 24:00 | 수: 00:00 - 24:00 | 목: 00:00 - 24:00 | 금: 00:00 - 24:00 | 토: 00:00 - 24:00 | 일: 00:00 - 24:00
"평화와평화, 구내매점",2064186940,"카페,디저트",전북 전주시 덕진구 명륜4길 6 3층,0507-1410-9340,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251004_246%2F175953889463629qtc_JPEG%2FKakaoTalk_Photo_2025-10-04-09-36-46_006.jpeg,핸드드립_로스터리_테이크아웃 할인_단체 이용 가능_포장_배달_예약_남/녀 화장실 구분_대기공간_무선 인터넷,가능,월: 11:00 - 22:00 | 화: 11:00 - 22:00 | 수: 11:00 - 22:00 | 목: 11:00 - 22:00 | 금: 11:00 - 22:00 | 토: 11:00 - 22:00 | 일: 11:00 - 22:00
만배식탁 전북대점,1379201438,한식,전북 전주시 덕진구 명륜5길 20 2 1층 만배식탁,0507-1406-3522,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250627_29%2F1751000056801rGGp8_JPEG%2F%25C0%25FC%25BA%25CF%25B4%25EB_%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F8.jpg,단체 이용 가능_포장_배달_예약_남/녀 화장실 구분_대기공간_무선 인터넷,불가,월: 10:00 - 22:00 (라스트오더: 21:30) | 화: 10:00 - 22:00 (라스트오더: 21:30) | 수: 10:00 - 22:00 (라스트오더: 21:30) | 목: 10:00 - 22:00 (라스트오더: 21:30) | 금: 10:00 - 22:00 (라스트오더: 21:30) | 토: 10:00 - 22:00 (라스트오더: 21:30) | 일: 10:00 - 22:00 (라스트오더: 21:30)
오일내 전북대점,1742540837,돼지고기구이,전북 전주시 덕진구 명륜3길 20 2층,0507-1354-6476,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_217%2F1725598609855bfzFx_JPEG%2F1000006054.jpg,단체 이용 가능_예약_유아의자_남/녀 화장실 구분_무선 인터넷,가능,월: 11:00 - 24:00 (라스트오더: 23:30) | 화: 11:00 - 24:00 (라스트오더: 23:30) | 수: 11:00 - 24:00 (라스트오더: 23:30) | 목: 11:00 - 24:00 (라스트오더: 23:30) | 금: 11:00 - 24:00 (라스트오더: 23:30) | 토: 11:00 - 24:00 (라스트오더: 23:30) | 일: 11:00 - 24:00 (라스트오더: 23:30)
고기듬뿍 국물두루치기 본점,1219346271,한식,전북 전주시 덕진구 명륜4길 18 9 덕진동1가 1층 고기듬뿍국물두루치기 본점,0507-1435-4140,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250613_295%2F1749803096632BYGIf_PNG%2F210%25C8%25A3%25C1%25A1.png,생일 혜택_콜키지 가능유료_테이크아웃 할인_단체 이용 가능_포장_배달_예약_무선 인터넷_남/녀 화장실 구분_대기공간_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능,가능,"월: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20) | 화: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20) | 수: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20) | 목: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20) | 금: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20) | 토: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20) | 일: 11:00 - 22:00 (브레이크타임: 15:00 - 16:00, 라스트오더: 21:20)"
