업체코드,ID,리뷰내용,작성일,평가카테고리
ST001,데이트장소탐색,콩나물이 아삭하고 국물이 개운해요. 해장국으로 최고!,2026-05-23,또 오고 싶어요
ST001,전주한바퀴,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-03-25,양이 많아요
ST001,홍길동123,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-02-28,맛이 별로예요
ST001,korea_taste,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-22,특별한 날 가기 좋아요
ST001,콩나물국밥마니아,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-03-10,가격이 비싸요
ST001,bibimbap_fan,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-02-24,양이 적어요
ST001,jbfoodie_01,가격 대비 양도 많고 맛도 훌륭해요. 피순대국밥 단골 됐어요.,2026-03-22,양이 많아요
ST001,갈비사랑,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-05-08,분위기가 별로예요
ST001,피순대국밥팬,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-04-28,또 오고 싶어요
ST001,yummy_jeonju,피순대국밥 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-03-09,맛있어요
ST001,푸드인전주,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-03-05,특별한 날 가기 좋아요
ST001,foodlover_D,순대 양이 적어서 아쉬웠어요. 추가 주문했어요.,2026-05-18,분위기가 별로예요
ST001,가족여행객,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-05-30,분위기가 별로예요
ST001,jeonju_review05,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-05-30,단체모임 하기 좋아요
ST001,남부시장단골,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-02-26,주차하기 편해요
ST001,맛집헌터A,이른 아침부터 문 열어서 해장하기 딱 좋아요.,2026-05-07,가성비가 좋아요
