업체명,업체코드,상권,위도,경도
피순대국밥,ST001,전북대,35.8477,127.1331
남문피순대,ST002,전북대,35.8481,127.1338
전주콩나물국밥(전북대점),ST003,전북대,35.8469,127.1342
두암식당,ST004,전북대,35.8474,127.1325
전주삼백집(전북대점),ST005,전북대,35.8462,127.1319
황가네순대국,ST006,전북대,35.8479,127.1348
전주비빔밥나라(전북대점),ST007,전북대,35.8466,127.1355
서신청국장,ST008,전북대,35.8484,127.1362
원조할머니순대,ST009,전북대,35.8458,127.1310
풍년제과(전북대점),ST010,전북대,35.8491,127.1370
미가식당,ST011,전북대,35.8454,127.1300
진미집,ST012,전북대,35.8487,127.1317
전주육회비빔밥(전북대점),ST013,전북대,35.8472,127.1378
콩심,ST014,전북대,35.8449,127.1290
오래된정원,ST015,전북대,35.8495,127.1385
화심순두부(전북대점),ST016,전북대,35.8446,127.1282
하숙생갈비,ST017,전북대,35.8499,127.1393
가마솥국밥,ST018,전북대,35.8442,127.1273
전주쌈밥,ST019,전북대,35.8503,127.1400
대동문,ST020,전북대,35.8438,127.1265
한국집,ST021,한옥마을,35.8149,127.1531
고궁,ST022,한옥마을,35.8153,127.1538
전주비빔밥(한옥마을점),ST023,한옥마을,35.8157,127.1545
베테랑칼국수,ST024,한옥마을,35.8143,127.1524
하숙영가마솥비빔밥,ST025,한옥마을,35.8161,127.1552
현대옥(한옥마을점),ST026,한옥마을,35.8138,127.1517
전주막걸리(경원동),ST027,한옥마을,35.8165,127.1559
삼백집,ST028,한옥마을,35.8132,127.1510
풍년제과(한옥마을점),ST029,한옥마을,35.8169,127.1566
가족회관,ST030,한옥마을,35.8127,127.1503
천년향,ST031,한옥마을,35.8173,127.1573
전주비빔밥식당,ST032,한옥마을,35.8122,127.1496
교동,ST033,한옥마을,35.8177,127.1580
남부시장국밥,ST034,한옥마을,35.8116,127.1489
명가전주비빔밥,ST035,한옥마을,35.8181,127.1587
왱이집,ST036,한옥마을,35.8111,127.1482
한벽루,ST037,한옥마을,35.8185,127.1594
조점례남문피순대,ST038,한옥마을,35.8106,127.1475
전주집,ST039,한옥마을,35.8189,127.1601
화심순두부(한옥마을점),ST040,한옥마을,35.8100,127.1468
현대옥(객사점),ST041,객사,35.8197,127.1499
베테랑칼국수(객사점),ST042,객사,35.8201,127.1506
전주콩나물국밥(객사점),ST043,객사,35.8205,127.1513
오모가리김치찌개,ST044,객사,35.8193,127.1492
수성당,ST045,객사,35.8209,127.1520
반촌칡냉면,ST046,객사,35.8188,127.1485
전주보리밥(객사점),ST047,객사,35.8213,127.1527
삼백집(객사점),ST048,객사,35.8183,127.1478
해리단길국밥,ST049,객사,35.8217,127.1534
신성루,ST050,객사,35.8179,127.1471
대화관,ST051,객사,35.8221,127.1541
전주옥,ST052,객사,35.8174,127.1464
라궁,ST053,객사,35.8225,127.1548
만복,ST054,객사,35.8170,127.1457
전주향토관,ST055,객사,35.8229,127.1555
나물비빔밥,ST056,객사,35.8165,127.1450
청목,ST057,객사,35.8233,127.1562
객리단길국밥,ST058,객사,35.8161,127.1443
곰소젓갈백반,ST059,객사,35.8237,127.1569
중앙회관,ST060,객사,35.8157,127.1436
더테이블(신시가지),ST061,신시가지,35.8380,127.1220
전주육회비빔밥(신시가지점),ST062,신시가지,35.8384,127.1227
한가람설렁탕,ST063,신시가지,35.8388,127.1234
신시가지콩나물국밥,ST064,신시가지,35.8376,127.1213
솔밭가든,ST065,신시가지,35.8392,127.1241
이조참판댁,ST066,신시가지,35.8372,127.1206
진미닭갈비,ST067,신시가지,35.8396,127.1248
남원추어탕(신시가지점),ST068,신시가지,35.8368,127.1199
황소갈비,ST069,신시가지,35.8400,127.1255
전주불고기(신시가지),ST070,신시가지,35.8364,127.1192
새만금낙지,ST071,신시가지,35.8404,127.1262
평양냉면(신시가지),ST072,신시가지,35.8360,127.1185
전주삼합,ST073,신시가지,35.8408,127.1269
충남집(신시가지),ST074,신시가지,35.8356,127.1178
전주한정식(신시가지),ST075,신시가지,35.8412,127.1276
명인갈비(신시가지),ST076,신시가지,35.8352,127.1171
도깨비시장국밥,ST077,신시가지,35.8416,127.1283
군산짬뽕(신시가지),ST078,신시가지,35.8348,127.1164
전주막걸리(신시가지),ST079,신시가지,35.8420,127.1290
삼성각,ST080,신시가지,35.8344,127.1157
시내회관,ST081,전북대,35.8507,127.1412
전주향미집,ST082,전북대,35.8433,127.1257
동문불고기,ST083,전북대,35.8511,127.1419
백년토종순대,ST084,한옥마을,35.8094,127.1461
다가정,ST085,한옥마을,35.8088,127.1454
경기전비빔밥,ST086,한옥마을,35.8082,127.1447
원조피순대국밥,ST087,객사,35.8241,127.1576
전주육개장,ST088,객사,35.8245,127.1583
고사리비빔밥,ST089,객사,35.8153,127.1429
청솔가든,ST090,신시가지,35.8340,127.1150
맛나분식(신시가지),ST091,신시가지,35.8424,127.1297
대왕낙지,ST092,신시가지,35.8336,127.1143
전주콩나물냉국수,ST093,신시가지,35.8428,127.1304
금복집,ST094,전북대,35.8515,127.1426
인성옥,ST095,전북대,35.8428,127.1249
전주비빔밥천년관,ST096,한옥마을,35.8076,127.1440
전통비빔밥집,ST097,한옥마을,35.8070,127.1433
청풍명월,ST098,객사,35.8249,127.1590
미향,ST099,신시가지,35.8332,127.1136
홍익회관,ST100,신시가지,35.8432,127.1311
