업체코드,메뉴명,메뉴카테고리,메뉴설명,메뉴가격
1647184627,🎁육즙군만두 무료_N예약 이벤트,대표,네이버예약하고서비스받자!육즙가득한군만두가100%공짜✨,무료
1647184627,수제딤섬🎉신메뉴 이벤트,대표,정성으로빚은수제딤섬4+1🎉신메뉴이벤트🥟한입에깊이를느끼는딤섬의정수,10000원
1647184627,아서원 원조짜장면,대표,고소하고단백한옛날짜장의풍미가득한아서원짜장면.강추👍,7000원
1647184627,해물 볶음짜장 (2인이상),대표,신선한해산물과야채가듬뿍뜨거운웍에즉석에서정성껏볶아진아서원해물볶음(쟁반)짜장!!,14000원
1647184627,통영굴짬뽕☃️겨울별미,대표,겨울철싱싱한굴로뜨끈한굴짬뽕.제철마다통영에서직송받아만든시원한인기최고굴짬뽕.,13000원
1647184627,통오징어짬뽕,대표,뜨끈한짬뽕에각종해산물과통오징가통째로들어간깊은육수맛이듬뿍담긴매콤한짬뽕,15000원
1647184627,새우볶음밥,대표,웍에서볶아낸중식새우복음밥짜장소스랑드시면든든합니다.~,11000원
1647184627,가지덮밥,대표,영양만점가지요리.중식소스로튀겨볶아내어소스로슥슥~입맛돋는가지덮밥~,13000원
1647184627,"""흑백요리사"" 마라크림새우딤섬",대표,"이번흑백요리사에서가장핫헸던메뉴""마라크림새우딤섬""마라와크림소스에바삭튀겨낸새우딤섬",15000원
1647184627,대나무버섯새우스프 (2인이상주문),대표,담양대나무에담백한육수로새우살과버섯류와청경채듬뿍담긴슾.따뜻한한그릇에온몸이따뜻!,10000원
1647184627,북경 탕수육(2-3인분) 소,대표,1등별미인기메뉴북경탕수육!육즙가득한등심살코기에바삭한튀김+달콤새콤한소스가깔끔.,25000원
1647184627,크림새우 / 칠리새우 / 깐풍새우,대표,중식의5대인기요리새우요리.아서원의특제소스로만들어낸깜풍칠리크림소스새우요리,28000원
1647184627,동파육,대표,이번흑백요리사강추메뉴동파육.중식특유의조리법의돈육의담백한육즙과소스와아삭한청경채.,38000원
1647184627,부추(호부추)잡채☃️겨울별미,대표,부추에들어있는B1비타민함량이가장많은겨울철호부추와꽃빵(한정판)꼭드셔야겠죠?!,40000원
1647184627,아서원 매코스,대표,단호박스프+새우바게트+류산슬+칠리새우+닭고기양상추쌈+식사+후식,33000원
2099020069,통영굴짬뽕(겨울-계절한정메뉴),대표,제철통영굴로만든굴짬뽕시원하고뜨끈한국물이매력적입니다.겨울철인기최고입니다.,14000원
2099020069,🎁육즙군만두_N예약 이벤트,메뉴카테고리없음,네이버예약하고방문하시면육즙군만두(10000원)무료서비스!!,무료
2099020069,아서원차돌짬뽕,메뉴카테고리없음,우리몸에좋은미나리와차돌이듬뿍올려진짬뽕.차돌로미나리를돌돌말아드시는짬뽕.강추,13000원
2099020069,전주물짜장 (원조),메뉴카테고리없음,전주물짜장드셔보셨나요?술술~먹기좋은물짜장.각종해산물과매콤한원조물짜장스타일~강추,12000원
2099020069,100년 전통 아서원 짜장면,메뉴카테고리없음,고소하고담백한옛날짜장의풍미.어릴적추억이솔솔100년전통원조짜장면,9000원
2099020069,더울 땐 시원한 중국식 냉면,메뉴카테고리없음,해물+냉육수=냉면계의신흥강자!!중화면으로만나는새로운냉면,14000원
2099020069,아서원짬뽕,메뉴카테고리없음,사골육수+해산물+야채의깊은맛시원하고개운하고깊은국물!!,12000원
2099020069,통오징어 짬뽕,메뉴카테고리없음,통오징어가한마리통채로올라갔습니다.깊고진한육수에통오징어까지더했습니다.,15000원
2099020069,북경탕수육 소 (2~3인분),메뉴카테고리없음,바삭한튀김옷입은등심탕수육.달콤새콤한소스와바람났어요,27000원
2099020069,해물 볶음짜장 (2인이상),메뉴카테고리없음,해산물과야채가뜨거운웍과만났다.현란하게볶아낸해물볶음(쟁반)짜장!!,17000원
2099020069,안 맵다 하얀백짬뽕,메뉴카테고리없음,잘우려낸육수+야채+해산물맑은국물로개운함이최고!!안매운하얀백짬뽕,13000원
2099020069,새우볶음밥,메뉴카테고리없음,뜨거운웍에서볶아낸새우볶음밥.짜장소스와만나면감칠맛폭발!!,12000원
2099020069,연두부덮밥,메뉴카테고리없음,부드러운두부+고기듬뿍+사천소스.매콤하게볶아낸중식5대덮밥,13000원
2099020069,(가성비) 평일 런치A코스,메뉴카테고리없음,(새우멘보샤+유린기+짜장or짬뽕)평일11시부터13시30분까지2인이상주문가능,22000원
2099020069,(가성비) 평일 런치B세트,메뉴카테고리없음,(새우멘보샤+탕수육+짜장or탕수육)평일11시부터13시30분까지2인이상주문가능,22000원
1340584191,오마카세 5종 야키토리,대표,최고급숯비장탄으로구운국내산계육꼬치구이,14000원
1340584191,양지순두부짬뽕,대표,불향가득매콤한짬뽕에부드러운순두부와양지장조림이들어가맛을살린파쿠야식짬뽕,24000원
1340584191,매콤닭가루비,대표,매콤한닭갈비를밥과함깨즐길수있는메뉴,21000원
1340584191,돈코츠 오뎅나베,메뉴카테고리없음,장시간우려낸돼지뼈육수와일본수제오뎅,22000원
1340584191,매생이 닭 백숙,메뉴카테고리없음,직접장시간우려낸닭육수에부드러운매생이로맛을더해파쿠야만의닭백숙,26000원
1340584191,바질술찜,메뉴카테고리없음,중독성이강한바질페스토를첨가한제철조개를사용한술찜,23000원
1340584191,육회,메뉴카테고리없음,국내산소고기육회와진한와사비크림소스를곁들인파쿠야육회,25000원
1340584191,비프카레스튜,메뉴카테고리없음,토마토소스를베이스로하여여러향신료가들어간카레에부드러운양지장조림이들어간카레스튜,19000원
1340584191,치킨난바,메뉴카테고리없음,수제간장소스로숙성시켜튀겨낸치킨과수제타르소스,21000원
1340584191,양송이새우아히죠,메뉴카테고리없음,마늘향이가득한파쿠야식감바스,20000원
1340584191,매콤크림파스타,메뉴카테고리없음,수제크림소스에매콤한파프리카를곁들인크림파스타,18500원
1340584191,나폴리탄파스타,메뉴카테고리없음,수제토마토소스에소세지와풍미가득한파마산치즈를더한일본가정식파스타,18500원
1340584191,명란알리오올리오,메뉴카테고리없음,마늘향가득한알리오올리오에명란의감칠맛을더한오일파스타,18500원
1340584191,SIDE) 신라면리조또,메뉴카테고리없음,신라면과수제크림소스로조리한리조또,9500원
1340584191,버터장조림솥밥,메뉴카테고리없음,장조림과각종야체가들어간솥밥,11000원
1163302976,계도리탕,대표,반마리25000/한마리30000콩나물을듬뿍올려시원맵칼한닭매운탕st닭도리탕,30000원
1163302976,묵은지참치말이,대표,닭도리탕과찰떡무조건필수주문,8000원
1163302976,대홍단주먹밥,대표,동글동글왕주먹밥대홍단주먹밥냐하~,8000원
1163302976,닭두루치기,대표,순살닭을매콤한양념과고소한들기름에볶아낸메뉴1인12000원2인이상주문가능,12000원
1163302976,닭대창볶음,대표,한우대창과닭다리살을수제양념과함께직화로볶아낸닭볶음,30000원
1163302976,고민상담 T/F,대표,고민상담해드립니다.T적성향F적성향선택해주세요.상담은21시이후가능합니다:),무료
1163302976,대도리탕,메뉴카테고리없음,반마리30000/한마리35000향긋한깻순과한우대창이들어간녹진한대창곱도리탕,35000원
1163302976,계란말이,메뉴카테고리없음,할매가도톰하고투박하게말아주던그계란말이,6000원
1163302976,계도리막걸리,메뉴카테고리없음,계도리에서직접만든혼합막걸리,4500원
1598840565,요거토마 대설(양 많은 2인분),대표,세계유일대설시그니처메뉴입니다:)상큼한요거트와신선하고달달한토마토의만남.시원하고맛이깔끔하니해장하는기분이랍니다~:),13000원
1598840565,요거토마 대설(1인분),대표,세계유일대설시그니처메뉴입니다:)상큼한요거트와신선하고달달한토마토의만남.시원하고맛이깔끔하니해장하는기분이랍니다~:),8800원
1598840565,크림치즈 오레오 대설(양 많은 2인분),대표,부드럽고고소하면서깊은풍미를지닌크림치즈와초코계의진리오레오가만나환상적이고기가막히는조합을이루고있는빙수:)지금만나보세요~~,15900원
1598840565,돼지바 대설(양 많은 2인분),대표,추억의돼지바남녀노소불문하고모두가좋아하는그맛.돼지바의모든것을끌어모아아이스크림보다도더맛있게탄생되었습니다:),14000원
1598840565,돼지바 대설(1인분),대표,추억의돼지바남녀노소불문하고모두가좋아하는그맛.돼지바의모든것을끌어모아아이스크림보다도더맛있게탄생되었습니다:),8900원
2088731895,찐~한 우사골의 깊은맛 '설렁탕',대표,공기밥+깍두기+겉절이+국수사리1묶음,12000원
2088731895,부드러운 양지고기의 참맛 '특설렁탕',대표,공기밥+깍두기+겉절이+국수사리1묶음+겨자소스,15000원
2088731895,매콤 칼칼 해장엔 '얼큰설렁탕',대표,공기밥+깍두기+겉절이+국수사리1묶음,13000원
2088731895,몸보신에 제격 일품 '갈비탕',대표,공기밥+깍두기+겉절이+국수사리1묶음+겨자소스,20000원
2088731895,쫀득함 최상위 고급진맛 '도가니탕',대표,공기밥+깍두기+겉절이+국수사리1묶음+초장,22000원
2088731895,기력회복 영양만점 '꼬리곰탕',대표,공기밥+깍두기+겉절이+국수사리1묶음+겨자소스,25000원
2088731895,풍부한 육즙 가득 '한우소불고기',대표,깍두기1+겉절이1,24000원
2088731895,수육 (기본 사골육수 제공),대표,깍두기2+겉절이2+사골육수1+겨자소스+초장,62000원
2088731895,소갈비찜 (기본 사골육수 제공),대표,깍두기2+겉절이2+사골육수1,62000원
2064186940,브루잉 커피 (hot / ice),메뉴카테고리없음,서로각자가좋아하는다양한커피,5000원
2064186940,카페오레 (hot / ice),메뉴카테고리없음,진하게내린커피와우유담백한조화,5000원
2064186940,플랫 크림 커피 (hot / ice),메뉴카테고리없음,바디감좋은커피와시그니처크림,5500원
2064186940,브라운 크림 커피 (hot /ice),메뉴카테고리없음,단맛의숙성우유와커피그리고크림,6000원
2064186940,말차 (hot / ice),메뉴카테고리없음,녹진한말차와숙성우유그리고크림,6500원
2064186940,봄 (hot / ice),메뉴카테고리없음,화사한얼그레이와두가지라임의조화,6500원
2064186940,가을 (hot / ice),메뉴카테고리없음,따뜻하게우려낸담백한호지에유자청,6500원
2064186940,플레인 휘낭시에,메뉴카테고리없음,가장기본에충실한휘낭시에,2900원
2064186940,쏠트 캐러멜 휘낭시에,메뉴카테고리없음,플레인휘낭시에+캐러멜소스,3300원
2064186940,말차 초코 휘낭시에,메뉴카테고리없음,말차휘낭시에+초코스틱,3600원
2064186940,오레오 밀크칩 휘낭시에,메뉴카테고리없음,오레오휘낭시에+마쉬멜로우+연유소스,3600원
2064186940,코코넛 커피 휘낭시에,메뉴카테고리없음,커피휘낭시에+코코넛+버터소스,3600원
2064186940,트리플 쇼콜라 휘낭시에,메뉴카테고리없음,초코휘낭시에+발로나초코스틱,3600원
1379201438,김치돈까스나베,대표,깔끔하고시원한국물에돈까스한장그대로올렸습니다!!!!,11900원
1379201438,차슈덮밥,대표,메뉴설명없음,12500원
1379201438,육회덮밥,대표,신선한육회가밥위에올라가면입안에서펼쳐지는고소하고상큼한맛의축제!,10900원
1379201438,만배라멘,대표,돈코츠소스돈사골베이스를사용한깊고구수한국물에두툼한차슈까지~~!!,9500원
1379201438,매운만배라멘,대표,돈코츠라멘에고춧가루로매콤한맛을더한깊고구수한매콤한라멘,9900원
1379201438,스테이크덮밥,대표,부드러운스테이크가밥위에올라가입안에서폭발하는맛의향연!,12500원
1379201438,새우튀김 냉소바,메뉴카테고리없음,메뉴설명없음,8900원
1379201438,초계냉면,메뉴카테고리없음,메뉴설명없음,8900원
1379201438,김치대패덮밥,메뉴카테고리없음,김치와삼겹살의화려한만남!!매콤한김치와고소한삼겹살이만나밥위에앉았어요!,9900원
1379201438,간장대패덮밥,메뉴카테고리없음,대패삼겹살을비법소스에볶았다!!밥위에올리면입안에서펼쳐지는소소한행복!,9900원
1379201438,(신메뉴)돈까스 카레덮밥,메뉴카테고리없음,(신메뉴!!!)카레에돈까스한장이통으로올라간든든한덮밥,10500원
1379201438,(신메뉴)가라아게카레덮밥,메뉴카테고리없음,(신메뉴!!)카레에겉바속촉가라아게가올라간덮밥,9900원
1379201438,돈까스덮밥,메뉴카테고리없음,메뉴설명없음,9500원
1379201438,치킨마요덮밥,메뉴카테고리없음,메뉴설명없음,9500원
1379201438,제육덮밥,메뉴카테고리없음,메뉴설명없음,9500원
1742540837,한돈암퇘지삼겹살 150g,대표,100g기준6666원,11000원
1742540837,한돈암퇘지목살 150g,대표,100g기준6666원,11000원
1742540837,한돈암퇘지 통가브리살 150g,대표,100g기준8000원,13000원
1742540837,한돈암퇘지 통항정살 150g,대표,100g기준9333원,16000원
1742540837,오일내한판세트[4인분],메뉴카테고리없음,삼겹+목살+가브리살+항정살+찌개류1택한판세트기준입니다,53900원
1742540837,오일내반판 세트[2인분],메뉴카테고리없음,삼겹+목살+찌개택1반판세트기준입니다.,39800원
1742540837,고기듬뿍 치즈볶음밥,메뉴카테고리없음,메뉴설명없음,7900원
1742540837,고기듬뿍 볶음밥 (2인분),메뉴카테고리없음,메뉴설명없음,6900원
1742540837,등심껍데기,메뉴카테고리없음,메뉴설명없음,5900원
1742540837,물냉면,메뉴카테고리없음,메뉴설명없음,5900원
1742540837,비빔냉면,메뉴카테고리없음,메뉴설명없음,5900원
