업체코드,ID(작성자),리뷰 내용,작성일,평가 카테고리
1647184627,cjs4831,마파두부덮밥과해물짬뽕시켜서먹었는게둘다맛있었습니다~!분위기도좋고매장인테리어도멋지고직원분들도친잘합니다강추~,2026년 6월 11일 목요일,음식이 맛있어요_재료가 신선해요_매장이 넓어요_인테리어가 멋져요_
1647184627,30****,가족들이랑와서맛있게먹었어요.점심셋트도좋네요,2026년 6월 10일 수요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_가성비가 좋아요_
1647184627,신의시대,깔끔하고맛있습니다,2026년 6월 10일 수요일,음식이 맛있어요_매장이 넓어요_매장이 청결해요_
1647184627,딴식잉,식당이깔끔하고음식도맛있어요🧡다음에는세트메뉴로시켜서먹어보려구요직원분들도모두다친절하셔서편하게식사했고주차도넉넉하게등록해주셔서식사하고파인트리몰내부도편하게구경하고왔어요,2026년 6월 9일 화요일,음식이 맛있어요_
1647184627,노은설40,음식이빨리나오고맛있아요,2026년 6월 9일 화요일,인테리어가 멋져요_친절해요_매장이 청결해요_주차하기 편해요_특별한 메뉴가 있어요_
1647184627,까만진주52,오늘은짬뽕^^국물이진하고맛있어요가족행사때도자주오는맛집입니다.,2026년 6월 9일 화요일,음식이 맛있어요_인테리어가 멋져요_친절해요_음식이 빨리 나와요_
1647184627,삼유,전주여행왔다가현지인소개로들렸는데분위기도맛도최고입니다.난코스주문했는데접시마다예술입니다.재방문당연합니다.,2026년 6월 8일 월요일,음식이 맛있어요_특별한 메뉴가 있어요_인테리어가 멋져요_매장이 넓어요_친절해요_
1647184627,pmk****,친절맛좋아요,2026년 6월 5일 금요일,음식이 맛있어요_매장이 넓어요_친절해요_주차하기 편해요_
1647184627,vai****,짜장면차돌짬뽕두개만시켜서먹어봤는데맛있고다음에오면시그니처요리먹을거같아요.옆테이블나오는거보기만해도맛있어보여요!,2026년 6월 5일 금요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_인테리어가 멋져요_친절해요_
1647184627,닌자54,영화보기전에들렀습니다.맛있게먹고갑니다~,2026년 6월 5일 금요일,음식이 맛있어요_메뉴 구성이 알차요_인테리어가 멋져요_매장이 넓어요_차분한 분위기예요_
1647184627,아로마웨딩,깨끗해요~맛있어요~~,2026년 6월 5일 금요일,음식이 맛있어요_인테리어가 멋져요_친절해요_
1647184627,요게머꼬17,음식깔끔하구맛있습니다,2026년 6월 5일 금요일,매장이 넓어요_주차하기 편해요_메뉴 구성이 알차요_
1647184627,man****,항상찾아오는곳인데음식이맛있습니다,2026년 6월 5일 금요일,음식이 맛있어요_
1647184627,으랏차99,짜장면이랑짬뽕다맛있어용!!!딤섬도굳굳👍👍👍,2026년 6월 3일 수요일,음식이 맛있어요_메뉴 구성이 알차요_컨셉이 독특해요_매장이 청결해요_음식이 빨리 나와요_
1647184627,lim****,근처온김에검색해보니까맛있다길래방문했는데굉장히만족스러운맛과가격이였습니다.추천드리겠습니다,2026년 6월 2일 화요일,음식이 맛있어요_가성비가 좋아요_인테리어가 멋져요_친절해요_주차하기 편해요_
1647184627,킴좌님27,매번아이랑같이와서먹는데서비스도좋고음식맛도좋네요!!,2026년 6월 2일 화요일,음식이 맛있어요_재료가 신선해요_건강한 맛이에요_양이 많아요_매장이 넓어요_
1647184627,모든것은제자리로,친절하고메뉴도다양하도맛있어요,2026년 6월 2일 화요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_
1647184627,아랍알랍,육즙소룡포는그냥만두데워서주는느낌동파육은아무맛도안나고최악이었음사르르녹는고기가아님내가만들어먹는게나은..블루리본이라왔는데왜블루리본인지모르겠음그리고제일최악은목재부분에먼지가수북히쌓여있고날아다녀서먼지랑같이식사함애기데리고절대로다시는안갈것같음청결측면이나맛이나가격만비싸고다별로였음이렇게별로인중국집도처음임,2026년 5월 30일 토요일,단체모임 하기 좋아요_매장이 넓어요_
