업체코드,메뉴명,메뉴카테고리,메뉴가격,메뉴내용
ST001,피순대국밥,국밥,9000,대표메뉴
ST001,순대국밥,국밥,8000,인기메뉴
ST001,내장국밥,국밥,8000,
ST001,공기밥 추가,사이드,1000,
ST002,피순대국밥,국밥,9000,대표메뉴
ST002,모듬순대,사이드,12000,인기메뉴
ST002,내장국밥,국밥,8000,
ST002,순대볶음,볶음,13000,
ST003,전주콩나물국밥,국밥,8000,대표메뉴
ST003,콩나물해장국,국밥,8000,인기메뉴
ST003,황태해장국,국밥,9000,
ST003,공기밥 추가,사이드,1000,
ST004,제육볶음정식,정식,10000,대표메뉴
ST004,된장찌개정식,정식,9000,인기메뉴
ST004,김치찌개정식,정식,9000,
ST004,비빔밥,비빔밥,8000,
ST005,전주비빔밥,비빔밥,12000,대표메뉴
ST005,돌솥비빔밥,비빔밥,13000,인기메뉴
ST005,육회비빔밥,비빔밥,15000,
ST005,콩나물국밥,국밥,8000,
ST006,순대국밥,국밥,8000,대표메뉴
ST006,피순대국밥,국밥,9000,인기메뉴
ST006,모듬순대,사이드,12000,
ST006,막걸리,음료,4000,
ST007,전주비빔밥,비빔밥,12000,대표메뉴
ST007,육회비빔밥,비빔밥,16000,인기메뉴
ST007,돌솥비빔밥,비빔밥,13000,
ST007,콩나물국,국,2000,
ST008,청국장,찌개,9000,대표메뉴
ST008,된장찌개,찌개,9000,인기메뉴
ST008,보리밥정식,정식,10000,
ST008,두부구이,사이드,6000,
ST009,피순대국밥,국밥,9000,대표메뉴
ST009,순대국밥,국밥,8000,인기메뉴
ST009,모듬순대,사이드,12000,
ST009,순대볶음,볶음,13000,
ST010,초코파이,빵,2500,대표메뉴
ST010,전주초코파이,빵,3000,인기메뉴
ST010,단팥빵,빵,2000,
ST010,아메리카노,음료,3500,
ST011,김치찌개정식,정식,9000,대표메뉴
ST011,제육볶음정식,정식,10000,인기메뉴
ST011,된장찌개정식,정식,9000,
ST011,비빔밥,비빔밥,8000,
ST012,전주비빔밥,비빔밥,12000,대표메뉴
ST012,콩나물국밥,국밥,8000,인기메뉴
ST012,돌솥비빔밥,비빔밥,13000,
ST012,육회비빔밥,비빔밥,15000,
ST013,육회비빔밥,비빔밥,16000,대표메뉴
ST013,전주비빔밥,비빔밥,12000,인기메뉴
ST013,육회,사이드,20000,
ST013,돌솥비빔밥,비빔밥,13000,
ST014,순두부찌개,찌개,9000,대표메뉴
ST014,두부전골,전골,12000,인기메뉴
ST014,청국장,찌개,9000,
ST014,보리밥,밥,3000,
ST015,한우갈비탕,탕,15000,대표메뉴
ST015,설렁탕,탕,10000,인기메뉴
ST015,도가니탕,탕,16000,
ST015,공기밥,사이드,1000,
ST016,화심순두부,찌개,9000,대표메뉴
ST016,얼큰순두부,찌개,9000,인기메뉴
ST016,된장찌개,찌개,8000,
ST016,보리밥,밥,3000,
ST017,돼지갈비,구이,15000,대표메뉴
ST017,갈비탕,탕,12000,인기메뉴
ST017,삼겹살,구이,14000,
ST017,냉면,냉면,9000,
ST018,가마솥국밥,국밥,8000,대표메뉴
ST018,순대국밥,국밥,8000,인기메뉴
ST018,모듬국밥,국밥,10000,
ST018,수육,사이드,15000,
ST019,쌈밥정식,정식,13000,대표메뉴
ST019,된장삼겹쌈밥,정식,15000,인기메뉴
ST019,두부쌈밥,정식,12000,
ST019,보리차,음료,0,
ST020,삼겹살,구이,14000,대표메뉴
ST020,목살,구이,14000,인기메뉴
ST020,된장찌개,찌개,2000,
ST020,냉면,냉면,8000,
ST021,전주비빔밥,비빔밥,14000,대표메뉴
ST021,전주한정식,한정식,25000,인기메뉴
ST021,육회비빔밥,비빔밥,17000,
ST021,콩나물국밥,국밥,9000,
ST022,전주비빔밥,비빔밥,15000,대표메뉴
ST022,한정식코스,한정식,35000,인기메뉴
ST022,육회비빔밥,비빔밥,18000,
ST022,콩나물국,국,3000,
ST023,전주비빔밥,비빔밥,13000,대표메뉴
ST023,돌솥비빔밥,비빔밥,14000,인기메뉴
ST023,육회비빔밥,비빔밥,16000,
ST023,비빔국수,면,9000,
ST024,칼국수,면,9000,대표메뉴
ST024,비빔국수,면,8000,인기메뉴
ST024,만두국,국,9000,
ST024,수제만두,사이드,7000,
ST025,가마솥비빔밥,비빔밥,13000,대표메뉴
ST025,돌솥비빔밥,비빔밥,14000,인기메뉴
ST025,전주비빔밥,비빔밥,12000,
ST025,된장국,국,2000,
ST026,전주콩나물국밥,국밥,9000,대표메뉴
ST026,황태해장국,국밥,10000,인기메뉴
ST026,피순대국밥,국밥,10000,
ST026,콩나물무침,사이드,3000,
ST027,막걸리,음료,4000,대표메뉴
ST027,전통주모둠,음료,15000,인기메뉴
ST027,파전,안주,12000,
ST027,두부김치,안주,10000,
ST028,콩나물국밥,국밥,9000,대표메뉴
ST028,피순대국밥,국밥,9000,인기메뉴
ST028,모듬수육,사이드,20000,
ST028,막걸리,음료,4000,
ST029,전주초코파이,빵,3000,대표메뉴
ST029,초코파이세트,빵,15000,인기메뉴
ST029,단팥빵,빵,2000,
