store_name,store_code,store_category,store_address,store_phone,store_times_str,store_score_text,store_data_x,store_data_y,store_image_url,store_amenities_str,store_parking
아서원1920 전주본점,1647184627,중식당,도로명전북 전주시 덕진구 송천중앙로 225 파인트리몰 3층복사지번전북 전주시 덕진구 송천동2가 1422복사우편번호우편번호54827복사안내 레이어 닫기,0507-1360-1789,곧 영업 시작17:00에 영업 시작17시 0분에 영업 시작_곧 영업 시작17:00에 영업 시작17시 0분에 영업 시작_곧 영업 시작17:00에 영업 시작17시 0분에 영업 시작_곧 영업 시작_17:00에 영업 시작17시 0분에 영업 시작_17:00에 영업 시작_17시 0분에 영업 시작_수11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_수11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_수11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_수_11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_목11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_목11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_목11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_목_11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_금11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_금11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_금11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_금_11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_토11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_토11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_토11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_토_11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_일11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_일11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_일11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_일_11:00 - 21:0015:00 - 16:00 브레이크타임20:20 라스트오더_월11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_월11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_월11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_월_11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_화11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더접기_화11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더접기_화11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_화_11:00 - 21:0015:00 - 17:00 브레이크타임20:20 라스트오더_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250702_224%2F1751420679650vqGD6_PNG%2F%25BE%25C6%25BC%25AD%25BF%25F8_%25BA%25ED%25B7%25E7%25B8%25AE%25BA%25BB2025.png,콜키지 가능유료_무선 인터넷_남/녀 화장실 구분_포장_예약_단체 이용 가능_대기공간_유아의자_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능_장애인 주차구역,주차가능무료
아서원1920 전주한옥마을꽃심호텔점,2099020069,중식당,도로명전북 전주시 완산구 팔달로 171 1층복사지번전북 전주시 완산구 경원동1가 102복사우편번호우편번호55038복사안내 레이어 닫기,0507-1443-1790,"영업 중20:20에 라스트오더20시 20분에 라스트오더_영업 중20:20에 라스트오더20시 20분에 라스트오더_영업 중20:20에 라스트오더20시 20분에 라스트오더_영업 중_20:20에 라스트오더20시 20분에 라스트오더_20:20에 라스트오더_20시 20분에 라스트오더_수11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_수11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_수11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_수_11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_목11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_목11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_목11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_목_11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_금11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_금11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_금11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_금_11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_토11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_토11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_토11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_토_11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_일11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_일11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_일11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_일_11:00 - 21:0015:00 - 16:30 브레이크타임14:20, 20:20 라스트오더_월11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_월11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_월11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_월_11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_화11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더접기_화11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더접기_화11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_화_11:00 - 21:0015:00 - 17:00 브레이크타임14:20, 20:20 라스트오더_접기_접기",별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250704_237%2F1751596452416oropY_PNG%2F%25BE%25C6%25BC%25AD%25BF%25F8_%25BA%25ED%25B7%25E7%25B8%25AE%25BA%25BB2025.png,콜키지 가능유료_단체 이용 가능_예약_무선 인터넷_유아의자_포장_남/녀 화장실 구분_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능_장애인 주차구역,주차가능무료
파쿠야 전주점,1340584191,이자카야,도로명전북 전주시 덕진구 기린대로 456 1층 파쿠야복사지번전북 전주시 덕진구 덕진동1가 1265-19복사우편번호우편번호54898복사안내 레이어 닫기,0507-1449-3739,영업 전17:30에 영업 시작17시 30분에 영업 시작_영업 전17:30에 영업 시작17시 30분에 영업 시작_영업 전17:30에 영업 시작17시 30분에 영업 시작_영업 전_17:30에 영업 시작17시 30분에 영업 시작_17:30에 영업 시작_17시 30분에 영업 시작_매일17:30 - 다음 날 04:00_매일17:30 - 다음 날 04:00_매일17:30 - 다음 날 04:00_매일_17:30 - 다음 날 04:00_- 오후17:30 ~ 새벽04:00까지 운영합니다.!!!!접기_- 오후17:30 ~ 새벽04:00까지 운영합니다.!!!!접기_- 오후17:30 ~ 새벽04:00까지 운영합니다.!!!!_- 오후17:30 ~ 새벽04:00까지 운영합니다.!!!!_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240307_6%2F1709808836290GwAk9_JPEG%2FIMG_3920.jpeg,콜키지 가능유료_단체 이용 가능_예약_남/녀 화장실 구분_무선 인터넷_\반려동물 동반_포장,주차가능무료
계도리,1163302976,한식,도로명전북 전주시 덕진구 명륜2길 15-16 1층 계도리복사지번전북 전주시 덕진구 덕진동1가 1314-185복사우편번호우편번호54898복사안내 레이어 닫기,0507-1326-3742,"영업 중21:30에 라스트오더21시 30분에 라스트오더_영업 중21:30에 라스트오더21시 30분에 라스트오더_영업 중21:30에 라스트오더21시 30분에 라스트오더_영업 중_21:30에 라스트오더21시 30분에 라스트오더_21:30에 라스트오더_21시 30분에 라스트오더_매일11:00 - 22:0015:00 - 17:00 브레이크타임14:30, 21:30 라스트오더_매일11:00 - 22:0015:00 - 17:00 브레이크타임14:30, 21:30 라스트오더_매일11:00 - 22:0015:00 - 17:00 브레이크타임14:30, 21:30 라스트오더_매일_11:00 - 22:0015:00 - 17:00 브레이크타임14:30, 21:30 라스트오더_- 5월 연휴기간 쉬는날 없이 운영합니다. 감사합니다.접기_- 5월 연휴기간 쉬는날 없이 운영합니다. 감사합니다.접기_- 5월 연휴기간 쉬는날 없이 운영합니다. 감사합니다._- 5월 연휴기간 쉬는날 없이 운영합니다. 감사합니다._접기_접기",별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251102_101%2F17620755959204x66w_JPEG%2FIMG_8350.jpeg,포장_무선 인터넷_단체 이용 가능_예약_대기공간_남/녀 화장실 구분_유아의자,주차 불가
대설 본점,1598840565,"카페,디저트",도로명전북 전주시 덕진구 명륜4길 18 2층복사지번전북 전주시 덕진구 덕진동1가 1263-21복사우편번호우편번호54898복사안내 레이어 닫기,0507-1467-1534,영업 중다음 날 00:20에 라스트오더다음 날 0시 20분에 라스트오더_영업 중다음 날 00:20에 라스트오더다음 날 0시 20분에 라스트오더_영업 중다음 날 00:20에 라스트오더다음 날 0시 20분에 라스트오더_영업 중_다음 날 00:20에 라스트오더다음 날 0시 20분에 라스트오더_다음 날 00:20에 라스트오더_다음 날 0시 20분에 라스트오더_수12:00 - 다음 날 00:4000:20 라스트오더_수12:00 - 다음 날 00:4000:20 라스트오더_수12:00 - 다음 날 00:4000:20 라스트오더_수_12:00 - 다음 날 00:4000:20 라스트오더_목12:00 - 다음 날 00:4000:20 라스트오더_목12:00 - 다음 날 00:4000:20 라스트오더_목12:00 - 다음 날 00:4000:20 라스트오더_목_12:00 - 다음 날 00:4000:20 라스트오더_금12:00 - 다음 날 00:4000:20 라스트오더_금12:00 - 다음 날 00:4000:20 라스트오더_금12:00 - 다음 날 00:4000:20 라스트오더_금_12:00 - 다음 날 00:4000:20 라스트오더_토12:00 - 다음 날 00:4000:20 라스트오더_토12:00 - 다음 날 00:4000:20 라스트오더_토12:00 - 다음 날 00:4000:20 라스트오더_토_12:00 - 다음 날 00:4000:20 라스트오더_일15:00 - 다음 날 00:4000:20 라스트오더_일15:00 - 다음 날 00:4000:20 라스트오더_일15:00 - 다음 날 00:4000:20 라스트오더_일_15:00 - 다음 날 00:4000:20 라스트오더_월12:00 - 다음 날 00:4000:20 라스트오더_월12:00 - 다음 날 00:4000:20 라스트오더_월12:00 - 다음 날 00:4000:20 라스트오더_월_12:00 - 다음 날 00:4000:20 라스트오더_화12:00 - 다음 날 00:4000:20 라스트오더접기_화12:00 - 다음 날 00:4000:20 라스트오더접기_화12:00 - 다음 날 00:4000:20 라스트오더_화_12:00 - 다음 날 00:4000:20 라스트오더_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251119_142%2F1763547265913HTJqh_PNG%2FKakaoTalk_20231209_155549039.png,로스터리_테이크아웃 할인_배달_포장_예약_단체 이용 가능_남/녀 화장실 구분,주차 불가
서울깍두기 전북대점,2088731895,"곰탕,설렁탕",도로명전북 전주시 덕진구 명륜4길 25 1층복사지번전북 전주시 덕진구 덕진동1가 664-18복사우편번호우편번호54898복사안내 레이어 닫기,0507-1487-2160,24시간 영업연중무휴연중무휴_24시간 영업연중무휴연중무휴_24시간 영업연중무휴연중무휴_24시간 영업_연중무휴연중무휴_연중무휴_연중무휴_매일00:00 - 24:00접기_매일00:00 - 24:00접기_매일00:00 - 24:00_매일_00:00 - 24:00_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250605_72%2F1749103560168I6oTU_PNG%2F%25C1%25A6%25B8%25F1%25C0%25BB-%25C0%25D4%25B7%25C2%25C7%25D8%25C1%25D6%25BC%25BC%25BF%25E4_-001_%252834%2529.png,단체 이용 가능_포장_배달_예약_무선 인터넷_남/녀 화장실 구분_유아의자,주차가능무료
"평화와평화, 구내매점",2064186940,"카페,디저트",도로명전북 전주시 덕진구 명륜4길 6 3층복사지번전북 전주시 덕진구 덕진동1가 1266-20복사우편번호우편번호54898복사안내 레이어 닫기,0507-1410-9340,영업 중22:00에 영업 종료22시 0분에 영업 종료_영업 중22:00에 영업 종료22시 0분에 영업 종료_영업 중22:00에 영업 종료22시 0분에 영업 종료_영업 중_22:00에 영업 종료22시 0분에 영업 종료_22:00에 영업 종료_22시 0분에 영업 종료_매일11:00 - 22:00접기_매일11:00 - 22:00접기_매일11:00 - 22:00_매일_11:00 - 22:00_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251004_246%2F175953889463629qtc_JPEG%2FKakaoTalk_Photo_2025-10-04-09-36-46_006.jpeg,핸드드립_로스터리_테이크아웃 할인_단체 이용 가능_포장_배달_예약_남/녀 화장실 구분_대기공간_무선 인터넷,주차가능무료
만배식탁 전북대점,1379201438,한식,도로명전북 전주시 덕진구 명륜5길 20-2 1층 만배식탁복사지번전북 전주시 덕진구 덕진동1가 1314-160복사우편번호우편번호54898복사안내 레이어 닫기,0507-1406-3522,영업 중21:30에 라스트오더21시 30분에 라스트오더_영업 중21:30에 라스트오더21시 30분에 라스트오더_영업 중21:30에 라스트오더21시 30분에 라스트오더_영업 중_21:30에 라스트오더21시 30분에 라스트오더_21:30에 라스트오더_21시 30분에 라스트오더_매일10:00 - 22:0021:30 라스트오더접기_매일10:00 - 22:0021:30 라스트오더접기_매일10:00 - 22:0021:30 라스트오더_매일_10:00 - 22:0021:30 라스트오더_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250627_29%2F1751000056801rGGp8_JPEG%2F%25C0%25FC%25BA%25CF%25B4%25EB_%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F8.jpg,단체 이용 가능_포장_배달_예약_남/녀 화장실 구분_대기공간_무선 인터넷,주차 불가
오일내 전북대점,1742540837,돼지고기구이,도로명전북 전주시 덕진구 명륜3길 20 2층복사지번전북 전주시 덕진구 덕진동1가 1314-179복사우편번호우편번호54898복사안내 레이어 닫기,0507-1354-6476,영업 중23:30에 라스트오더23시 30분에 라스트오더_영업 중23:30에 라스트오더23시 30분에 라스트오더_영업 중23:30에 라스트오더23시 30분에 라스트오더_영업 중_23:30에 라스트오더23시 30분에 라스트오더_23:30에 라스트오더_23시 30분에 라스트오더_매일11:00 - 24:0023:30 라스트오더접기_매일11:00 - 24:0023:30 라스트오더접기_매일11:00 - 24:0023:30 라스트오더_매일_11:00 - 24:0023:30 라스트오더_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_217%2F1725598609855bfzFx_JPEG%2F1000006054.jpg,단체 이용 가능_예약_유아의자_남/녀 화장실 구분_무선 인터넷,주차가능무료
고기듬뿍 국물두루치기 본점,1219346271,한식,도로명전북 전주시 덕진구 명륜4길 18-9 (덕진동1가)1층 고기듬뿍국물두루치기 본점복사지번전북 전주시 덕진구 덕진동1가 1314-174 1층 고기듬뿍국물두루치기 본점복사우편번호우편번호54898복사안내 레이어 닫기,0507-1435-4140,영업 중21:20에 라스트오더21시 20분에 라스트오더_영업 중21:20에 라스트오더21시 20분에 라스트오더_영업 중21:20에 라스트오더21시 20분에 라스트오더_영업 중_21:20에 라스트오더21시 20분에 라스트오더_21:20에 라스트오더_21시 20분에 라스트오더_매일11:00 - 22:0015:00 - 16:00 브레이크타임21:20 라스트오더_매일11:00 - 22:0015:00 - 16:00 브레이크타임21:20 라스트오더_매일11:00 - 22:0015:00 - 16:00 브레이크타임21:20 라스트오더_매일_11:00 - 22:0015:00 - 16:00 브레이크타임21:20 라스트오더_- 매장 화재로 인하여 재정비 후 빠르게 오픈 하겠습니다접기_- 매장 화재로 인하여 재정비 후 빠르게 오픈 하겠습니다접기_- 매장 화재로 인하여 재정비 후 빠르게 오픈 하겠습니다_- 매장 화재로 인하여 재정비 후 빠르게 오픈 하겠습니다_접기_접기,별점없음,0,0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250613_295%2F1749803096632BYGIf_PNG%2F210%25C8%25A3%25C1%25A1.png,생일 혜택_콜키지 가능유료_테이크아웃 할인_단체 이용 가능_포장_배달_예약_무선 인터넷_남/녀 화장실 구분_대기공간_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능,주차가능무료
