store_name,store_code,area
은우정육식당,1978054842,신시가지
사계 전주본점,1674437430,신시가지
홀로설 전북도청 본점,1179533799,신시가지
석암생소금구이 전주신시가지점,2035360458,신시가지
올리빈,2050064407,신시가지
호르몬치치 전주신시가지점,2040733389,신시가지
달빛에구운고등어 전북도청점,1658039837,신시가지
다산돼지와낙지 본점,35262409,신시가지
시오베이커리,2092423541,신시가지
진담동&소바 전주효자동신시가지본점,1767903379,신시가지
몽유도 신시가지점,1954251906,신시가지
오티씨커피,1027304409,신시가지
후후소금빵,2077158695,신시가지
양누리 신시가지점,1119515452,신시가지
다 레오,1651846978,신시가지
EIGHT FLOOR,1582706255,신시가지
메종드쁘띠푸르 전주점,1881842274,신시가지
성산제줏간 전주신시가지,2046308559,신시가지
가츠연,1517836857,신시가지
프랭크커핀바&베이커리 효자점,1681529226,신시가지
나나방콕 전주신시가지점,2000922127,신시가지
멘야케이 전주신시가지점,1444733898,신시가지
솔가숯불갈비 신시가지점,1308357339,신시가지
일층집 본점,1497463405,신시가지
크럼,34016552,신시가지
돈카츠흑심 효자점,1559037357,신시가지
스시이안앤 도청신시가지점,2097209094,신시가지
석암생소금구이 전주신시가지점,2035360458,신시가지
이너프샐러드 도청 직영점,1439019759,신시가지
효자동아귀찜본점,1531723988,신시가지
메종드앤,1964614801,신시가지
스시이안앤 도청신시가지점,2097209094,신시가지
오마카세 오사이초밥 전주효자점,1934955582,신시가지
어부항숙성횟집 전주도청점,1917184667,신시가지
탕화쿵푸마라탕 효자동점,1443381266,신시가지
홍석철베이커리,19915453,신시가지
오일내 신시가지점,1267696161,신시가지
브라운오델리,1100372414,신시가지
서울깍두기 전북도청점,1098484038,신시가지
호르몬치치 전주신시가지점,2040733389,신시가지
불마라식당 효자전주대점,1133749856,신시가지
불구멍 전주 신시가지점,1562200889,신시가지
시우도,1983957847,신시가지
인생극장쪽갈비 전주효자점,1636174934,신시가지
라보테 신시가지점,1327286135,신시가지
하우스먼트,1197656243,신시가지
레이지크해비탯 신시가지점,1996583204,신시가지
쭈로움 본점,2091119171,신시가지
만배식탁 전주신시가지점,1016583722,신시가지
미르밀옥류관 본점,32854577,신시가지
1964금이정 전북도청본점,1989044251,신시가지
극강식 전주신시가지점,1637775611,신시가지
엄마손맛집짜글이,35662721,신시가지
경성금돼지 전주 신시가지점,1262382544,신시가지
전주가정식백반,1118077374,신시가지
장어명가,37663302,신시가지
반촌숯불정육식당 전주효자 본점,1352476957,신시가지
카츠츠 전주효자점,1681218286,신시가지
베테랑 신시가지점,36816396,신시가지
김영찬아저씨김치찌개 본점,1344065839,신시가지
아웃백스테이크하우스 효자점,36139349,신시가지
생선집,1653652179,신시가지
갯벌을 담다 전주 신시가지점,1756049153,신시가지
찌개고집 전주신시가지점,2027134213,신시가지
형제면소,1749922884,신시가지
할리스 전북도청점,38571165,신시가지
고기싸롱 전주신시가지점,1745156394,신시가지
효자동키친,1876661758,신시가지
두끼 전북도청점,1162544334,신시가지
퐁당샤브 전주도청점,1087055663,신시가지
카페쇼콜라빌리지 전주대점,1155813744,신시가지
고깃리88번지 전주신시가지점,1264140948,신시가지
고수닭갈비 효자점,20265914,신시가지
숯토리 신시가지본점,1108630796,신시가지
가람 전주신시가지본점,37488869,신시가지
포랩스커피컴퍼니 신시가지효자점,1037900632,신시가지
미카도스시 전주전북도청점,1317929360,신시가지
취팔선객잔,1832644422,신시가지
홀로설 전북도청 본점,1179533799,신시가지
게장공장,2034612865,신시가지
탐앤탐스커피전주신시가지점,20108488,신시가지
양문숯불갈비 전주효자점,2079372039,신시가지
마초스테이크 전주점,2016578165,신시가지
멘지 전주신시가지점,2099774322,신시가지
이소,1159021496,신시가지
꿀비,20123293,신시가지
송화옥,2017032031,신시가지
산오징어바지락칼국수,155319282,신시가지
소담촌 전주효자점,1462595762,신시가지
진수곱창 신시가지점,1545188087,신시가지
버거킹 전북도청점,34907454,신시가지
스타벅스 전주신시가지점,1954896997,신시가지
스타벅스 전북도청점,34827225,신시가지
EIGHT FLOOR,1582706255,신시가지
시즈너,1649770295,신시가지
태양부양꼬치 효자점,1286897099,신시가지
여운,2083745594,신시가지
대성 한우 양곱창,1681933768,신시가지
도야 두루치기 생삼겹,1432378052,신시가지
남촌칼국수,1535494654,신시가지
배치드롬 전주신시가지점,2005476330,신시가지
규카츠정 신시가지점,1308215143,신시가지
시그니처쪽갈비 신시가지 본점,1072031659,신시가지
밑잔,1258074365,신시가지
GT커피 전주신시가지점,1016286110,신시가지
덕이네한식뷔페,1481061639,신시가지
이화짬뽕 전주신시가지점,2073343260,신시가지
후켄 신시가지점,1313716416,신시가지
피오,1682253011,신시가지
메가MGC커피 전주신시가지점,1599414335,신시가지
KFC 전북도청점,1806566157,신시가지
당나발포차 전주신시가지점,2094627051,신시가지
여리국밥,1155063843,신시가지
치히로 신시가지점,1128270047,신시가지
부광족발 효자점,1970890181,신시가지
동대문엽기떡볶이 전북도청점,33706637,신시가지
오사카숙성참치,1872163495,신시가지
갓잇 전북도청점,2046576711,신시가지
네잎클로버,1237961084,신시가지
블루스앨리,479670830,신시가지
옥주 전주신시가지점,1472807478,신시가지
인더포크,1801271250,신시가지
금암면옥 신시가지,36699189,신시가지
주야제 전주신시가지점,1855595925,신시가지
봉마땡B&Co,1270417947,신시가지
한신포차 전북도청점,33811067,신시가지
고순이감자탕,1132408236,신시가지
스타벅스 전주홍산로점,36606122,신시가지
아스라이,1602073585,신시가지
제주은희네해장국 전북도청점,1662537720,신시가지
파우재커피,2039932101,신시가지
역전할머니맥주 전주신시가지점,1398429952,신시가지
우리국수잘하는집 전주효자동본점,20028996,신시가지
이디야커피 전주KBS점,36256114,신시가지
핸더 신시가지점,2004792736,신시가지
사랑각 전주신시가지점,1970617061,신시가지
자프렌,1622740780,신시가지
컴포즈커피 전주대신정문점,1296156960,신시가지
이디야커피 전북도청점,36256216,신시가지
카페 후우링,1230696102,신시가지
마와루스시 전주효자,2070688835,신시가지
아마스빈 전북도청점,1859082842,신시가지
금복반점,1559288355,신시가지
브릴로,1740834349,신시가지
카츠레츠,1645588635,신시가지
마노,1468118375,신시가지
상무초밥 전주도청점,1069705687,신시가지
포잉케이크,1050240721,신시가지
양뜰,38654641,신시가지
극강식 전주신시가지점,1637775611,신시가지
장수농장,35336191,신시가지
도싯골 도청점,33560267,신시가지
짭쪼롬 본점,1588636145,신시가지
담소뒷고기,1124462500,신시가지
담소뒷고기,1124462500,신시가지
짭쪼롬 본점,1588636145,신시가지
꾸꾸케이크,1253950233,신시가지
어시장 신시가지점,1318112774,신시가지
영등동골목길,1802806758,신시가지
세이토,1286344014,신시가지
카메짱,1172946342,신시가지
미즈미즈시이 본점,1449266513,신시가지
올드스터프,1862064342,신시가지
신포우리만두 신시가지점,33831528,신시가지
헤비커피,1750340748,신시가지
시선 전주신시가지점,1373343700,신시가지
카페 화현,2024899642,신시가지
사계 전주본점,1674437430,신시가지
빙수당 전북도청점,1807740420,신시가지
삼백휴게실 신시가지점,2091066633,신시가지
초밥에덴 도청점,2070133768,신시가지
은우정육식당,1978054842,신시가지
시골청년맥주,2037123751,신시가지
화산생곱창,34836952,신시가지
EU피자&파스타 전주신시가지점,2053075776,신시가지
백소정 전주도청점,1847309226,신시가지
투썸플레이스 전주신시가지점,19995671,신시가지
풍남정 도청점,33876678,신시가지
온정,1632569801,신시가지
바름정육식당 효자점,1328325377,신시가지
청담이상 전주도청점,36768842,신시가지
밥스터 신시가지점,33972079,신시가지
다인,1198569687,신시가지
하루참치,37356600,신시가지
와우케이크,1137932219,신시가지
인셔틀,1134493032,신시가지
미분당 전주신시가지점,1701538317,신시가지
빽다방 전주효자기전점,1506057487,신시가지
맥적 전주본점,2014088539,신시가지
마이마이케이크 신시가지 본점,1112976318,신시가지
서울깍두기 전북도청점,1098484038,신시가지
레드피아노 LP카페,1835982055,신시가지
완산암소갈비,1934509437,신시가지
종착역 전주신시가지점,1506242665,신시가지
브이엠에스 커피,1986093819,신시가지
키노앤코,2044890468,신시가지
찌개고집 전주신시가지점,2027134213,신시가지
금정돼지 신시가지점,1277669421,신시가지
아트오브램 전주신시가지본점,1560220094,신시가지
갯벌을 담다 전주 신시가지점,1756049153,신시가지
보리보리,1705592528,신시가지
삼동소바 전주신시가지점,2032348270,신시가지
고궁담,33878751,신시가지
소모라,2007681233,신시가지
