업체명,업체코드,업체카테고리,주소,전화번호,영업시간,별점,위도,경도,업체사진,편의성정보,주차여부
피순대국밥,ST001,한식/국밥,전북 전주시 덕진구 백제대로 13,063-270-1017,07:00~20:00,4.5,35.8477,127.1331,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
남문피순대,ST002,한식/국밥,전북 전주시 덕진구 백제대로 16,063-270-1034,09:00~21:00,4.7,35.8481,127.1338,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
전주콩나물국밥(전북대점),ST003,한식/국밥,전북 전주시 덕진구 백제대로 19,063-270-1051,10:00~22:00,4.3,35.8469,127.1342,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
두암식당,ST004,한식/일반,전북 전주시 덕진구 백제대로 22,063-270-1068,07:30~15:00,4.8,35.8474,127.1325,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
전주삼백집(전북대점),ST005,한식/일반,전북 전주시 덕진구 백제대로 25,063-270-1085,11:00~21:00,4.1,35.8462,127.1319,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
황가네순대국,ST006,한식/국밥,전북 전주시 덕진구 백제대로 28,063-270-1102,08:00~22:00,4.6,35.8479,127.1348,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
전주비빔밥나라(전북대점),ST007,한식/비빔밥,전북 전주시 덕진구 백제대로 31,063-270-1119,07:00~21:00,4.4,35.8466,127.1355,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
서신청국장,ST008,한식/두부요리,전북 전주시 덕진구 백제대로 34,063-270-1136,09:00~20:00,4.9,35.8484,127.1362,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
원조할머니순대,ST009,한식/국밥,전북 전주시 덕진구 백제대로 37,063-270-1153,08:00~21:00,4.0,35.8458,127.1310,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
풍년제과(전북대점),ST010,베이커리/카페,전북 전주시 덕진구 백제대로 40,063-270-1170,07:00~20:00,4.3,35.8491,127.1370,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
