WORD_CODE,REVIEW_CODE,WORD,WORD_PN
1,1,전주,P
2,1,오면,P
3,1,초코파이는,P
4,1,필수죠,P
5,1,겨울에,P
6,1,먹으니,P
7,1,달달하고,P
8,1,너무,P
9,1,맛있어요,P
10,1,매장도,P
11,1,아늑해요,P
12,2,초코파이는,P
13,2,맛있는데,P
14,2,여름,P
15,2,휴가철이라,P
16,2,그런지,P
17,2,주차가,P
18,2,조금,P
19,2,힘들어서,P
20,2,아쉬웠습니다,P
21,3,가을,P
22,3,한옥마을,P
23,3,산책하고,P
24,3,선물용으로,P
25,3,대량,P
26,3,구매했어요,P
27,3,직원분들도,P
28,3,친절하고,P
29,3,포장도,P
30,3,깔끔합니다,P
31,4,한정,P
32,4,메뉴가,P
33,4,나왔대서,P
34,4,가봤는데,P
35,4,너무,P
36,4,달지도,P
37,4,않고,P
38,4,편리함,P
39,4,느꼈어요,P
40,4,매장,P
41,4,깔끔합니다,P
42,5,안주가,P
43,5,정말,P
44,5,푸짐하고,P
45,5,맛있어요,P
46,5,겨울,P
47,5,밤에,P
48,5,막걸리,P
49,5,한잔하기,P
50,5,좋은,P
51,5,아늑해요,P
52,5,분위기,P
53,6,안주는,N
54,6,대만족인데,N
55,6,여름이라,N
56,6,그런지,N
57,6,주말,N
58,6,웨이팅이,N
59,6,너무,N
60,6,길어요,N
61,6,유동적,N
62,6,영업시간,N
63,6,확인,N
64,6,필수,N
65,7,가을,P
66,7,전어철에,P
67,7,맞춰,P
68,7,나온,P
69,7,신메뉴,P
70,7,최고네요,P
71,7,술이,P
72,7,술술,P
73,7,들어가는,P
74,7,맛집입니다,P
75,8,파스타,P
76,8,소스가,P
77,8,깊고,P
78,8,맛있어요,P
79,8,봄날에,P
80,8,창가,P
81,8,자리,P
82,8,예약하고,P
83,8,가니,P
84,8,데이트하기,P
85,8,딱입니다,P
86,9,스테이크,P
87,9,굽기도,P
88,9,적당하고,P
89,9,매장이,P
90,9,깔끔해서,P
91,9,편리함,P
92,9,느꼈습니다,P
93,9,가을,P
94,9,분위기랑,P
95,9,어울려요,P
96,10,여름,P
97,10,방학이라,P
98,10,사람,P
99,10,없을,P
100,10,알았는데,P
101,10,점심시간엔,P
102,10,차네요,P
103,10,파스타,P
104,10,여전히,P
105,10,맛있음,P
106,11,신시가지에서,P
107,11,부모님,P
108,11,모시고,P
109,11,가기,P
110,11,제일,P
111,11,좋은,P
112,11,곳이에요,P
113,11,떡갈비,P
114,11,너무,P
115,11,부드럽고,P
116,11,친절해요,P
117,12,비빔밥,N
118,12,정갈하게,N
119,12,나옵니다,N
120,12,반찬,N
121,12,가짓수도,N
122,12,많고,N
123,12,주차장이,N
124,12,넓어서,N
125,12,주차,N
126,12,진짜,N
127,12,편함,N
